sep=|
Module|template|Desc|para0|para1|para2|para3|para4|para5|para4.0|para4.1|para4.2|para4.3
uniequip_002_bena_2|EquipmentEventStageMore|3星通关主题曲2-3；必须编入非助战贝娜并上场，且使用贝娜歼灭至少1个重装防御者|3|main_02-03|char_369_bena|DEATHDETAIL,char_369_bena,enemy_1006_shield|1||DEATHDETAIL|char_369_bena|enemy_1006_shield|
uniequip_002_kazema_1|EquipmentSkillCast|由非助战风丸累计使用纸艺·双影10次|char_4016_kazema|skchr_kazema_2|10|char_4016_kazema|||char_4016_kazema|||
uniequip_002_kazema_2|EquipmentEventStageMore|3星通关主题曲3-1；必须编入非助战风丸并上场，且使用风丸歼灭至少30名敌人|3|main_03-01|char_4016_kazema|DEATHDETAIL,char_4016_kazema,killcount|30||DEATHDETAIL|char_4016_kazema|killcount|
uniequip_002_lumen_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战流明并上场，且每次战斗至少释放2次灯火不灭|5|skchr_lumen_3|2|char_4042_lumen|||char_4042_lumen|||
uniequip_002_lumen_2|EquipmentSquadProEx|3星通关主题曲6-9；且仅可编入非助战流明1名医疗干员并上场|3|main_06-08|char_4042_lumen|MEDIC|||MEDIC|||
uniequip_002_ceylon_1|EquipmentSkillCast|由非助战锡兰累计使用水灵庇护3次|char_348_ceylon|skchr_ceylon_2|3|char_348_ceylon|||char_348_ceylon|||
uniequip_002_ceylon_2|EquipmentSquadProEx|3星通关别传OF-3；且仅可编入非助战锡兰1名医疗干员并上场|3|a003_03|char_348_ceylon|MEDIC|||MEDIC|||
uniequip_002_whispr_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战絮雨并上场，且每次战斗至少释放1次痛觉抑制|5|skchr_whispr_2|1|char_436_whispr|||char_436_whispr|||
uniequip_002_whispr_2|EquipmentSquadProEx|3星通关主题曲2-5；且仅可编入非助战絮雨1名医疗干员并上场|3|main_02-05|char_436_whispr|MEDIC|||MEDIC|||
uniequip_002_finlpp_1|EquipmentSkillCast|由非助战清流累计使用涌泉5次|char_385_finlpp|skchr_finlpp_2|5|char_385_finlpp|||char_385_finlpp|||
uniequip_002_finlpp_2|EquipmentSquadProEx|3星通关主题曲3-7；且仅可编入非助战清流1名医疗干员并上场|3|main_03-07|char_385_finlpp|MEDIC|||MEDIC|||
uniequip_002_zumama_1|EquipmentDamageTotal|由非助战森蚺累计造成60000点伤害|char_416_zumama|60000||||||||
uniequip_002_zumama_2|EquipmentEventStageMore|3星通关别传RI-EX-4；必须编入非助战森蚺并上场，且使用森蚺歼灭至少1个提亚卡乌冠军|3|act12d0_ex04|char_416_zumama|DEATHDETAIL,char_416_zumama,enemy_1098_cchmpn_2|1||DEATHDETAIL|char_416_zumama|enemy_1098_cchmpn_2|
uniequip_002_aurora_1|EquipmentDamageTotal|由非助战极光累计造成40000点伤害|char_422_aurora|40000||||||||
uniequip_002_aurora_2|EquipmentEventStageMore|3星通关主题曲3-8；必须编入非助战极光并上场，且使用极光歼灭碎骨|3|main_03-08|char_422_aurora|DEATHDETAIL,char_422_aurora,enemy_1500_skulsr|1||DEATHDETAIL|char_422_aurora|enemy_1500_skulsr|
uniequip_002_irene_1|EquipmentEventTotal|由非助战艾丽妮使用技能累计造成50歼灭数|char_4009_irene|DEATHDETAIL,char_4009_irene,ability|50|||||||
uniequip_002_irene_2|EquipmentCharKilledStage|3星通关插曲SV-4；必须编入非助战艾丽妮并上场，且使用艾丽妮歼灭15个敌人|3|act18d3_04|char_4009_irene|15|char_4009_irene||15|||
uniequip_002_demkni_1|EquipmentSkillCast|战斗中非助战塞雷娅累计使用钙质化5次|char_202_demkni|skchr_demkni_3|5|char_202_demkni|||char_202_demkni|||
uniequip_002_demkni_2|EquipmentSquadNoAnyDead|3星通关别传MB-3；必须编入非助战塞雷娅并上场，且所有干员不被击倒|3|act15d0_03|char_202_demkni|||||||
uniequip_002_nearl_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战临光并上场，且每次战斗至少释放1次急救模式|5|skchr_nearl_2|1|char_148_nearl|||char_148_nearl|||
uniequip_002_nearl_2|EquipmentSquadNoAnyDead|3星通关主题曲1-12；必须编入非助战临光并上场，且所有干员不被击倒|3|main_01-12|char_148_nearl|||||||
uniequip_002_sunbr_1|EquipmentSkillCast|战斗中非助战古米累计使用食粮烹制6次|char_196_sunbr|skchr_sunbr_2|6|char_196_sunbr|||char_196_sunbr|||
uniequip_002_sunbr_2|EquipmentSquadProEx|3星通关主题曲4-2；必须编入非助战古米并上场，且不编入其他重装干员|3|main_04-02|char_196_sunbr|TANK|||TANK|||
uniequip_002_blemsh_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战瑕光并上场，且每次战斗至少释放1次先贤化身|5|skchr_blemsh_3|1|char_423_blemsh|||char_423_blemsh|||
uniequip_002_blemsh_2|EquipmentSquadPro|3星通关别传MN-2；必须编入非助战瑕光并上场，其他成员仅可编入重装干员|3|act13d5_02|char_423_blemsh|13,TANK|||13|TANK||
uniequip_002_hmau_1|EquipmentSkillCast|战斗中非助战吽累计使用反制医疗模式5次|char_226_hmau|skchr_hmau_2|5|char_226_hmau|||char_226_hmau|||
uniequip_002_hmau_2|EquipmentSquadPro|使用至多3人（包含助战）的队伍3星通关主题曲S2-4；必须编入非助战吽并上场，其他成员仅可编入术师干员|3|sub_02-04|char_226_hmau|2,CASTER|||2|CASTER||
uniequip_002_iris_1|EquipmentCharKilled|由非助战爱丽丝累计造成30歼灭数|char_338_iris|30|char_338_iris|||||||
uniequip_002_iris_2|EquipmentEventStageMore|3星通关主题曲2-2；必须编入非助战爱丽丝并上场，且使用爱丽丝歼灭至少2个重装防御者|3|main_02-02|char_338_iris|DEATHDETAIL,char_338_iris,enemy_1006_shield|2||DEATHDETAIL|char_338_iris|enemy_1006_shield|
uniequip_002_indigo_1|EquipmentDamageTotal|由非助战深靛累计造成60000点伤害|char_469_indigo|60000||||||||
uniequip_002_indigo_2|EquipmentSkillCastStage|3星通关插曲SV-5；必须编入非助战深靛并上场，且使用2次光影迷宫|3|act18d3_05|skchr_indigo_2|2|char_469_indigo||2|||
uniequip_002_ebnhlz_1|EquipmentEventTotal|由非助战黑键累计歼灭10个精英或领袖敌人|char_4046_ebnhlz|DEATHDETAIL,char_4046_ebnhlz,BOSS,ELITE|10|||||||
uniequip_002_ebnhlz_2|EquipmentEventStageMore|3星通关主题曲3-7；必须编入非助战黑键并上场，且使用黑键歼灭至少1个重装防御组长|3|main_03-07|char_4046_ebnhlz|DEATHDETAIL,char_4046_ebnhlz,enemy_1006_shield_2|1||DEATHDETAIL|char_4046_ebnhlz|enemy_1006_shield_2|
uniequip_003_skadi_1|EquipmentCharKilled|由非助战斯卡蒂累计造成30歼灭数|char_263_skadi|30|char_263_skadi|||||||
uniequip_003_skadi_2|EquipmentEventStageMore|3星通关别传GT-4；必须编入非助战斯卡蒂并上场，且使用斯卡蒂歼灭至少2个伐木机|3|a001_04|char_263_skadi|DEATHDETAIL,char_263_skadi,enemy_1033_handax|2||DEATHDETAIL|char_263_skadi|enemy_1033_handax|
uniequip_003_pasngr_1|EquipmentBattleCharDamage|完成5次战斗；必须编入非助战异客并上场，且使用异客造成至少30000点伤害|5|char_472_pasngr|30000|||||||
uniequip_003_pasngr_2|EquipmentEventStageMore|3星通关主题曲5-10；必须编入非助战异客并上场，且使用异客歼灭至少2个粉碎攻坚手|3|main_05-10|char_472_pasngr|DEATHDETAIL,char_472_pasngr,enemy_1045_hammer|2||DEATHDETAIL|char_472_pasngr|enemy_1045_hammer|
uniequip_002_jesica_1|EquipmentSkillCast|战斗中非助战杰西卡累计使用掩护烟幕5次|char_235_jesica|skchr_jesica_2|5|char_235_jesica|||char_235_jesica|||
uniequip_002_jesica_2|EquipmentSkillCastStage|3星通关插曲SV-4；必须编入非助战杰西卡并上场，且使用1次掩护烟幕|3|act18d3_04|skchr_jesica_2|1|char_235_jesica||1|||
uniequip_002_shotst_1|EquipmentCharKilled|由非助战流星累计造成30歼灭数|char_126_shotst|30|char_126_shotst|||||||
uniequip_002_shotst_2|EquipmentEventStageMore|3星通关主题曲2-7；必须编入非助战流星并上场，且使用流星歼灭至少2个御4|3|main_02-07|char_126_shotst|DEATHDETAIL,char_126_shotst,enemy_1017_defdrn|2||DEATHDETAIL|char_126_shotst|enemy_1017_defdrn|
uniequip_002_clour_1|EquipmentDamageTotal|由非助战红云累计造成60000点伤害|char_190_clour|60000||||||||
uniequip_002_clour_2|EquipmentSquadPro|3星通关主题曲3-1；必须编入非助战红云并上场，其他成员仅可编入先锋干员|3|main_03-01|char_190_clour|13,PIONEER|||13|PIONEER||
uniequip_002_mm_1|EquipmentSkillCast|战斗中非助战梅累计使用束缚电击5次|char_133_mm|skchr_mm_2|5|char_133_mm|||char_133_mm|||
uniequip_002_mm_2|EquipmentSquadProEx|3星通关主题曲4-4；必须编入非助战梅并上场，且不编入其他狙击干员|3|main_04-04|char_133_mm|SNIPER|||SNIPER|||
uniequip_002_bluep_1|EquipmentDamageTotal|由非助战蓝毒累计造成80000点伤害|char_129_bluep|80000||||||||
uniequip_002_bluep_2|EquipmentSquadPro|3星通关主题曲3-4；必须编入非助战蓝毒并上场，其他成员仅可编入近卫干员|3|main_03-04|char_129_bluep|13,WARRIOR|||13|WARRIOR||
uniequip_002_platnm_1|EquipmentCharKilled|由非助战白金累计造成30歼灭数|char_204_platnm|30|char_204_platnm|||||||
uniequip_002_platnm_2|EquipmentEventStageMore|3星通关主题曲5-7；必须编入非助战白金并上场，且使用白金歼灭至少2个寒霜|3|main_05-07|char_204_platnm|DEATHDETAIL,char_204_platnm,enemy_1042_frostd|2||DEATHDETAIL|char_204_platnm|enemy_1042_frostd|
uniequip_002_swllow_1|EquipmentSkillCast|战斗中非助战灰喉累计使用回流5次|char_367_swllow|skchr_swllow_2|5|char_367_swllow|||char_367_swllow|||
uniequip_002_swllow_2|EquipmentEventStageMore|3星通关主题曲2-10；必须编入非助战灰喉并上场，且使用灰喉歼灭碎骨|3|main_02-10|char_367_swllow|DEATHDETAIL,char_367_swllow,enemy_1500_skulsr|1||DEATHDETAIL|char_367_swllow|enemy_1500_skulsr|
uniequip_002_aprl_1|EquipmentDeployTotal|战斗中累计部署非助战四月8次|8|char_365_aprl|char_365_aprl|||||||
uniequip_002_aprl_2|EquipmentEventStageMore|3星通关主题曲5-3；必须编入非助战四月并上场，且使用四月歼灭至少2个特战术师组长|3|main_05-03|char_365_aprl|DEATHDETAIL,char_365_aprl,enemy_1038_lunmag_2|2||DEATHDETAIL|char_365_aprl|enemy_1038_lunmag_2|
uniequip_002_kroos2_1|EquipmentSkillCast|战斗中非助战寒芒克洛丝累计使用封喉5次|char_1021_kroos2|skchr_kroos2_2|5|char_1021_kroos2|||char_1021_kroos2|||
uniequip_002_kroos2_2|EquipmentEventStageMore|3星通关主题曲3-8；必须编入非助战寒芒克洛丝并上场，且使用寒芒克洛丝歼灭碎骨|3|main_03-08|char_1021_kroos2|DEATHDETAIL,char_1021_kroos2,enemy_1500_skulsr|1||DEATHDETAIL|char_1021_kroos2|enemy_1500_skulsr|
uniequip_002_angel_1|EquipmentDamageTotal|由非助战能天使累计造成100000点伤害|char_103_angel|100000||||||||
uniequip_002_angel_2|EquipmentEventStageMore|3星通关主题曲4-10；必须编入非助战能天使并上场，且使用能天使歼灭霜星|3|main_04-10|char_103_angel|DEATHDETAIL,char_103_angel,enemy_1505_frstar|1||DEATHDETAIL|char_103_angel|enemy_1505_frstar|
uniequip_002_archet_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战空弦并上场，且使用空弦歼灭至少5名敌人|5|char_332_archet|5|||||||
uniequip_002_archet_2|EquipmentSquadProEx|3星通关主题曲2-9；必须编入非助战空弦并上场，且不编入其他狙击干员|3|main_02-09|char_332_archet|SNIPER|||SNIPER|||
uniequip_002_ash_1|EquipmentEventTotal|由非助战灰烬累计歼灭10个精英敌人|char_456_ash|DEATHDETAIL,char_456_ash,ELITE|10|||||||
uniequip_002_ash_2|EquipmentEventStageMore|3星通关主题曲1-12；必须编入非助战灰烬并上场，且使用灰烬歼灭W|3|main_01-12|char_456_ash|DEATHDETAIL,char_456_ash,enemy_1504_cqbw|1||DEATHDETAIL|char_456_ash|enemy_1504_cqbw|
uniequip_003_pallas_1|EquipmentSkillCast|战斗中非助战帕拉斯累计使用英勇的祝福5次|char_485_pallas|skchr_pallas_3|5|char_485_pallas|||char_485_pallas|||
uniequip_003_pallas_2|EquipmentSquadPro|3星通关主题曲4-3；必须编入非助战帕拉斯并上场，其他成员仅可编入重装干员|3|main_04-03|char_485_pallas|13,TANK|||13|TANK||
uniequip_002_halo_1|EquipmentCharKilled|由非助战星源累计造成40歼灭数|char_135_halo|40|char_135_halo|||||||
uniequip_002_halo_2|EquipmentSquadPro|3星通关主题曲4-3；必须编入非助战星源并上场，其他成员仅可编入重装干员|3|main_04-03|char_135_halo|13,TANK|||13|TANK||
uniequip_003_mgllan_3|EquipmentDeployTotal|战斗中累计召唤非助战麦哲伦的召唤物45回|45|token_10005_mgllan_drone1;token_10005_mgllan_drone2;token_10005_mgllan_drone3|char_248_mgllan|||||||
uniequip_003_mgllan_4|EquipmentSquadPro|3星通关主题曲2-2；必须编入非助战麦哲伦并上场，其他成员仅可编入先锋干员|3|main_02-02|char_248_mgllan|13,PIONEER|||13|PIONEER||
uniequip_002_glady_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战歌蕾蒂娅并上场，且每次战斗至少释放1次缺水的碎漩狂舞|5|skchr_glady_3|1|char_474_glady|||char_474_glady|||
uniequip_002_glady_2|EquipmentEventStageMore|3星通关插曲SV-EX-5；必须编入非助战歌蕾蒂娅，且至少使1个富营养的收割者坠落地穴|3|act18d3_ex05|char_474_glady|SIMPLE,enemy_1151_dslntc_2,fall_down|1||SIMPLE|enemy_1151_dslntc_2|fall_down|
uniequip_002_slchan_1|EquipmentEventBattleMore|完成5次战斗；必须编入非助战崖心，且每次战斗至少使2名敌人坠落地穴|5|char_173_slchan|SIMPLE,*,fall_down|2|||2|||
uniequip_002_slchan_2|EquipmentSquadProEx|3星通关别传MN-4；必须编入非助战崖心并上场，且不编入其他特种干员|3|act13d5_04|char_173_slchan|SPECIAL|||SPECIAL|||
uniequip_002_snsant_1|EquipmentEventBattleMore|完成5次战斗；必须编入非助战雪雉，且每次战斗至少使2名敌人坠落地穴|5|char_383_snsant|SIMPLE,*,fall_down|2|||2|||
uniequip_002_snsant_2|EquipmentSkillCastStage|3星通关主题曲4-6；必须编入非助战雪雉并上场，且至少使用2次伸缩式电捕网|3|main_04-06|skchr_snsant_2|2|char_383_snsant||2|||
uniequip_002_rope_1|EquipmentSkillCast|战斗中非助战暗索累计使用复式钩爪10次|char_236_rope|skchr_rope_2|10|char_236_rope|||char_236_rope|||
uniequip_002_rope_2|EquipmentEventStageMore|3星通关主题曲3-3；必须编入非助战暗索，且使弑君者坠落地穴|3|main_03-03|char_236_rope|SIMPLE,enemy_1502_crowns,fall_down|1||SIMPLE|enemy_1502_crowns|fall_down|
uniequip_002_mizuki_1|EquipmentDamageTotal|由非助战水月累计造成150000点伤害|char_437_mizuki|150000||||||||
uniequip_002_mizuki_2|EquipmentEventStageMore|3星通关主题曲4-3；必须编入非助战水月并上场，且使用水月歼灭至少2名萨卡兹狙击手|3|main_04-03|char_437_mizuki|DEATHDETAIL,char_437_mizuki,enemy_1012_dcross|2||DEATHDETAIL|char_437_mizuki|enemy_1012_dcross|
uniequip_002_mantic_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战狮蝎并上场，且每次战斗至少释放1次蓄力毒尾击|5|skchr_mantic_2|1|char_215_mantic|||char_215_mantic|||
uniequip_002_mantic_2|EquipmentSquadNum|3星通关主题曲1-9；必须编入非助战狮蝎并上场，其他成员仅可编入1名干员|3|main_01-09|char_215_mantic|1|||1|||
uniequip_002_kirara_1|EquipmentSkillCast|战斗中非助战绮良累计使用锚点捕捉5次|char_478_kirara|skchr_kirara_2|5|char_478_kirara|||char_478_kirara|||
uniequip_002_kirara_2|EquipmentCharKilledStage|3星通关主题曲3-1；必须编入非助战绮良并上场，且使用绮良歼灭20个敌人|3|main_03-01|char_478_kirara|20|char_478_kirara||20|||
uniequip_002_ethan_1|EquipmentSkillCast|战斗中非助战伊桑累计使用十字悬挂5次|char_355_ethan|skchr_ethan_2|5|char_355_ethan|||char_355_ethan|||
uniequip_002_ethan_2|EquipmentSquadNum|3星通关别传TW-3；必须编入非助战伊桑并上场，其他成员仅可编入4名干员|3|act11d0_03|char_355_ethan|4|||4|||
uniequip_003_fartth_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战远牙并上场，且每次战斗至少释放2次光羽箭|5|skchr_fartth_3|2|char_430_fartth|||char_430_fartth|||
uniequip_003_fartth_2|EquipmentEventStageMore|3星通关主题曲2-5；必须编入非助战远牙并上场，且使用远牙歼灭至少2名高阶术师|3|main_02-05|char_430_fartth|DEATHDETAIL,char_430_fartth,enemy_1018_aoemag|2||DEATHDETAIL|char_430_fartth|enemy_1018_aoemag|
uniequip_003_ghost2_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战归溟幽灵鲨并上场，且每次战斗至少释放1次生存的重压|5|skchr_ghost2_3|1|char_1023_ghost2|||char_1023_ghost2|||
uniequip_003_ghost2_2|EquipmentCharKilledStage|3星通关主题曲S4-1；必须编入非助战归溟幽灵鲨并上场，且使用归溟幽灵鲨歼灭10个敌人|3|sub_04-1-1|char_1023_ghost2|10|char_1023_ghost2||10|||
uniequip_002_bgsnow_1|EquipmentDeployTotal|战斗中累计部署非助战鸿雪的“打字机”10次|10|token_10026_bgsnow_subbow|char_4055_bgsnow|||||||
uniequip_002_bgsnow_2|EquipmentEventStageMore|3星通关主题曲2-10；必须编入非助战鸿雪并上场，且使用鸿雪或“打字机”歼灭碎骨|3|main_02-10|char_4055_bgsnow|DEATHDETAIL,char_4055_bgsnow,enemy_1500_skulsr|1||DEATHDETAIL|char_4055_bgsnow|enemy_1500_skulsr|
uniequip_002_snakek_1|EquipmentSkillCast|战斗中非助战蛇屠箱累计使用壳状防御8次|char_150_snakek|skchr_snakek_2|8|char_150_snakek|||char_150_snakek|||
uniequip_002_snakek_2|EquipmentSquadProEx|3星通关主题曲2-10；必须编入非助战蛇屠箱并上场，且不编入其他重装干员|3|main_02-10|char_150_snakek|TANK|||TANK|||
uniequip_002_yak_1|EquipmentSkillCast|战斗中非助战角峰累计使用抗寒体质8次|char_199_yak|skchr_yak_2|8|char_199_yak|||char_199_yak|||
uniequip_002_yak_2|EquipmentSquadProEx|3星通关主题曲3-6；且仅可编入非助战角峰1名重装干员并上场|3|main_03-06|char_199_yak|TANK|||TANK|||
uniequip_002_bubble_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战泡泡并上场，且每次战斗至少释放1次挨打|5|skchr_bubble_2|1|char_381_bubble|||char_381_bubble|||
uniequip_002_bubble_2|EquipmentCharKilledStage|3星通关主题曲4-6；必须编入非助战泡泡并上场，且使用泡泡灭8个敌人|3|main_04-06|char_381_bubble|8|char_381_bubble||8|||
uniequip_002_moeshd_1|EquipmentEventBattleMore|完成5次战斗；必须编入非助战可颂，且每次战斗至少使3名敌人坠落地穴|5|char_201_moeshd|SIMPLE,*,fall_down|3|||3|||
uniequip_002_moeshd_2|EquipmentSkillCastStage|3星通关主题曲2-8；必须编入非助战可颂并上场，且使用2次磁暴锤|3|main_02-08|skchr_moeshd_2|2|char_201_moeshd||2|||
uniequip_002_bison_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战拜松并上场，且每次战斗至少释放2次深化阵线|5|skchr_bison_2|2|char_325_bison|||char_325_bison|||
uniequip_002_bison_2|EquipmentSquadProEx|3星通关主题曲3-7；且仅可编入非助战拜松1名重装干员并上场|3|main_03-07|char_325_bison|TANK|||TANK|||
uniequip_002_zebra_1|EquipmentSkillCast|战斗中非助战暴雨累计使用应急迷彩30次|char_304_zebra|skchr_zebra_1|30|char_304_zebra|||char_304_zebra|||
uniequip_002_zebra_2|EquipmentSquadNoAnyDead|3星通关主题曲2-7；必须编入非助战暴雨并上场，且所有干员不被击倒|3|main_02-07|char_304_zebra|||||||
uniequip_002_hsguma_1|EquipmentCharKilled|由非助战星熊累计造成60歼灭数|char_136_hsguma|60|char_136_hsguma|||||||
uniequip_002_hsguma_2|EquipmentSquadNum|3星通关主题曲3-1；必须编入非助战星熊并上场，其他成员仅可编入4名干员|3|main_03-01|char_136_hsguma|4|||4|||
uniequip_002_nian_1|EquipmentDamageTotal|由非助战年累计造成60000点伤害|char_2014_nian|60000||||||||
uniequip_002_nian_2|EquipmentCharKilledStage|3星通关别传WR-9；必须编入非助战年并上场，且使用年至少歼灭10名敌人|3|act16d5_09|char_2014_nian|10|char_2014_nian||10|||
uniequip_002_provs_1|EquipmentSkillCast|战斗中非助战但书累计使用致胜立论14次|char_4032_provs|skchr_provs_2|14|char_4032_provs|||char_4032_provs|||
uniequip_002_provs_2|EquipmentEventStageMore|3星通关主题曲4-7；必须编入非助战但书并上场，且使用但书至少歼灭3只高能源石虫|3|main_04-07|char_4032_provs|DEATHDETAIL,char_4032_provs,enemy_1021_bslime|3||DEATHDETAIL|char_4032_provs|enemy_1021_bslime|
uniequip_003_ebnhlz_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战黑键并上场，且使用黑键歼灭至少6个敌人|5|char_4046_ebnhlz,token_10024_ebnhlz_rcube|6|||||||
uniequip_003_ebnhlz_2|EquipmentEventStageMore|3星通关主题曲3-6；必须编入非助战黑键并上场，且使用黑键歼灭屠宰老手|3|main_03-06|char_4046_ebnhlz|DEATHDETAIL,char_4046_ebnhlz,enemy_1034_laxe_2|1||DEATHDETAIL|char_4046_ebnhlz|enemy_1034_laxe_2|
uniequip_003_zumama_1|EquipmentEventTotal|由非助战森蚺累计歼灭10个精英或领袖敌人|char_416_zumama|DEATHDETAIL,char_416_zumama,BOSS,ELITE|10|||||||
uniequip_003_zumama_2|EquipmentEventStageMore|3星通关别传RI-7；必须编入非助战森蚺并上场，且使用森蚺歼灭至少2名提亚卡乌勇士|3|act12d0_07|char_416_zumama|DEATHDETAIL,char_416_zumama,enemy_1098_cchmpn|2||DEATHDETAIL|char_416_zumama|enemy_1098_cchmpn|
uniequip_002_kalts_1|EquipmentDamageTotalWithToken|由非助战凯尔希累计造成150000点伤害|char_003_kalts;token_10002_kalts_mon3tr|150000|char_003_kalts|||||||
uniequip_002_kalts_2|EquipmentSkillCastStage|3星通关主题曲5-10；必须编入非助战凯尔希并上场，且使用4次指令：熔毁|3|main_05-10|skchr_kalts_3|4|char_003_kalts||4|||
uniequip_002_shining_1|EquipmentSkillCast|战斗中非助战闪灵累计使用教条力场6次|char_147_shining|skchr_shining_3|6|char_147_shining|||char_147_shining|||
uniequip_002_shining_2|EquipmentSquadProEx|3星通关主题曲5-8；且仅可编入非助战闪灵1名医疗干员并上场|3|main_05-08|char_147_shining|MEDIC|||MEDIC|||
uniequip_002_tuye_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战图耶并上场，且每次战斗至少释放1次强心剂|5|skchr_tuye_2|1|char_402_tuye|||char_402_tuye|||
uniequip_002_tuye_2|EquipmentSquadNum|3星通关主题曲4-6；必须编入非助战图耶并上场，其他成员仅可编入6名干员|3|main_04-06|char_402_tuye|6|||6|||
uniequip_002_folnic_1|EquipmentDamageTotal|由非助战亚叶累计造成80000点伤害|char_345_folnic|80000||||||||
uniequip_002_folnic_2|EquipmentCharKilledStage|3星通关主题曲5-2；必须编入非助战亚叶并上场，且使用亚叶至少歼灭8名敌人|3|main_05-02|char_345_folnic|8|char_345_folnic||8|||
uniequip_002_bldsk_1|EquipmentSkillCast|战斗中非助战华法琳累计使用不稳定血浆12次|char_171_bldsk|skchr_bldsk_2|12|char_171_bldsk|||char_171_bldsk|||
uniequip_002_bldsk_2|EquipmentSquadPro|使用至多7人（包含助战）的队伍3星通关主题曲2-10；必须编入非助战华法琳并上场，其他成员仅可编入近卫干员|3|main_02-10|char_171_bldsk|6,WARRIOR|||6|WARRIOR||
uniequip_002_silent_1|EquipmentSkillCast|战斗中非助战赫默累计使用医疗无人机14次|char_108_silent|skchr_silent_2|14|char_108_silent|||char_108_silent|||
uniequip_002_silent_2|EquipmentSquadProEx|3星通关主题曲4-8；且仅可编入非助战赫默1名医疗干员并上场|3|main_04-08|char_108_silent|MEDIC|||MEDIC|||
uniequip_002_susuro_1|EquipmentSkillCast|战斗中非助战苏苏洛累计使用深度治疗6次|char_298_susuro|skchr_susuro_2|6|char_298_susuro|||char_298_susuro|||
uniequip_002_susuro_2|EquipmentSquadProEx|3星通关主题曲4-7；且仅可编入非助战苏苏洛1名医疗干员并上场|3|main_04-07|char_298_susuro|MEDIC|||MEDIC|||
uniequip_002_ccheal_1|EquipmentSkillCast|战斗中非助战嘉维尔累计使用活力再生·广域12次|char_187_ccheal|skchr_ccheal_2|12|char_187_ccheal|||char_187_ccheal|||
uniequip_002_ccheal_2|EquipmentSkillCastStage|3星通关主题曲S4-5；必须编入非助战嘉维尔并上场，且使用2次活力再生·广域|3|sub_04-2-2|skchr_ccheal_2|2|char_187_ccheal||2|||
uniequip_002_myrrh_1|EquipmentSkillCast|战斗中非助战末药累计使用医疗力场5次|char_117_myrrh|skchr_myrrh_2|5|char_117_myrrh|||char_117_myrrh|||
uniequip_002_myrrh_2|EquipmentSquadProEx|3星通关主题曲6-11；且仅可编入非助战末药1名医疗干员并上场|3|main_06-10|char_117_myrrh|MEDIC|||MEDIC|||
uniequip_003_dusk_3|EquipmentCharKilled|由非助战夕累计造成80歼灭数|char_2015_dusk;token_10015_dusk_drgn|80|char_2015_dusk|||||||
uniequip_003_dusk_4|EquipmentSquadPro|3星通关主题曲4-3；必须编入非助战夕并上场，其他成员仅可编入先锋干员|3|main_04-03|char_2015_dusk|999,PIONEER|||999|PIONEER||
uniequip_003_aglina_3|EquipmentDamageTotal|由非助战安洁莉娜累计造成120000点伤害|char_291_aglina|120000||||||||
uniequip_003_aglina_4|EquipmentSquadNum|3星通关主题曲2-7；必须编入非助战安洁莉娜并上场，其他成员仅可编入4名干员|3|main_02-07|char_291_aglina|4|||4|||
uniequip_002_siege_1|EquipmentCharKilled|由非助战推进之王累计造成60歼灭数|char_112_siege|60|char_112_siege|||||||
uniequip_002_siege_2|EquipmentSquadPro|3星通关主题曲1-7；必须编入非助战推进之王并上场，其他成员仅可编入先锋干员|3|main_01-07|char_112_siege|13,PIONEER|||13|PIONEER||
uniequip_002_saga_1|EquipmentDeployCharOrder|完成5次战斗；必须编入非助战嵯峨，并确定第一位部署的干员是嵯峨|5|1|char_362_saga|||||||
uniequip_002_saga_2|EquipmentSquadNum|3星通关别传WR-1；必须编入非助战嵯峨并上场，其他成员仅可编入2名干员|3|act16d5_01|char_362_saga|2|||2|||
uniequip_002_flamtl_1|EquipmentDamageTotal|由非助战焰尾累计造成40000点伤害|char_420_flamtl|40000||||||||
uniequip_002_flamtl_2|EquipmentSquadNum|3星通关别传NL-3；必须编入非助战焰尾并上场，其他成员仅可编入4名干员|3|act13side_03|char_420_flamtl|4|||4|||
uniequip_002_texas_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战德克萨斯并上场，且每次战斗至少释放一次剑雨|5|skchr_texas_2|1|char_102_texas|||char_102_texas|||
uniequip_002_texas_2|EquipmentSquadProEx|3星通关别传CB-3；必须编入非助战德克萨斯并上场，其他成员不可编入先锋干员|3|act5d0_03|char_102_texas|PIONEER|||PIONEER|||
uniequip_002_headbr_1|EquipmentSkillCast|战斗中非助战凛冬累计使用乌萨斯战吼5次|char_115_headbr|skchr_headbr_2|5|char_115_headbr|||char_115_headbr|||
